Application ID,Applicant Name,Email,Intended Major,High School State,Application Fee,Submission Date
1352,wanda DOE,wdoe@gmail.com,Math,NV,$297.91,pending
1689,PETER JONES,pjones@edu.org,Journalism,,"$1,939.68",08/14/2023
1485,wanda MAXIMOFF,wmaximoff@yahoo.com,Math,,$277.90,2023/06/06
1388,PETER Parker,pparker@yahoo.com,Agriculture,AZ,$370.25,2023-02-24
1031,bruce rogers,brogers@stark.com,Physics,NV,$53.93,"Oct 16, 2023"
1442,Diana STONE,dstone@outlook.com,,NV,"$1,220.80",07/26/2023
1198,CHARLIE Jane,cjane@stark.com,Biology,WA,$403.84,03-17-2023
1425,peter Rogers,progers@stark.com,Physics,WA,$185.89,"Aug 26, 2023"
1107,John JANE,jjane@gmail.com,Art,KS,"$1,106.45",09/16/2023
1714,WANDA WAYNE,wwayne@gmail.com,Biology,,"$1,953.69",02/21/2023
1552,peter JORDAN,pjordan@skynet.com,History,OR,"$1,851.00","Oct 07, 2023"
1675,Mary CURRY,mcurry@gmail.com,Journalism,NV,$126.93,04/18/2023
1158,ALICE ALLEN,aallen@dailybugle.com,Art,NV,"$1,970.98",2023-02-18
1475,HAL connor,hconnor@skynet.com,,FL," $1,262.67 ",pending
1423,CHARLIE PARKER,cparker@stark.com,,,"$1,903.80",2023-07-24
1210,Bruce Allen,ballen@skynet.com,Computer Science,AZ,"$1,160.63",08-30-2023
,Clark jones,cjones@edu.org,Agriculture,,"$1,637.85",05-29-2023
1483,ARTHUR Parker,aparker@dailybugle.com,Physics,NV,"$1,824.77",2023-06-03
1884,diana Allen,dallen@skynet.com,Math,CA," $1,867.95 ",unknown
1650,ARTHUR KENT,akent@dailybugle.com,Business,CA,"$1,614.79",2023-12-14
1244,wanda Jones,wjones@outlook.com,,NY,$570.27,04/10/2023
1847,peter Jordan,pjordan@skynet.com,,TX,"$1,479.42",06/21/2023
1982,CLARK Prince,cprince@outlook.com,Math,CA,"$1,390.56",2023/07/02
1828,PETER Kent,pkent@yahoo.com,Journalism,AZ,$965.11,2023/05/20
,barry BROWN,bbrown@stark.com,Physics,NJ,$940.37,08-16-2023
